Shelter Name,Address,Website,ResultCard Description,ResultCard Description Full,Phone 1,Phone 2,Email,Map Link
Squamish Helping Hands Emergency Shelter,"37871 Third Avenue, Squamish, BC V8B 0A7",https://www.squamishhelpinghands.ca/programs-services/shelter-solutions,16-bed emergency shelter for adults of all genders ages 19 and over who are homeless or at risk of homelessness.,"Provided by Squamish Helping Hands Society3 other services offered by this agency16-bed emergency shelter for adults of all genders ages 19 and over who are homeless or at risk of homelessness.16-bed emergency shelter for adults of all genders ages 19 and over who are homeless or at risk of homelessness. Open 24 hours a day, seven days a week; intake is 24/7 as long as shelter is not full. One locker per person is available during shelter stay. Maximum stay is 30 days. Low-barrier shelter; drug or alcohol use within shelter or drop-in is not tolerated. Wheelchair accessible. Pets are not permitted in the shelter; outdoor cages are available. Extra space is being provided during an Extreme Weather Response (EWR) alert.",604-390-3000,N/A,info@shhs.ca,/result/squamish-helping-hands-emergency-shelter-79335521
St John the Divine Shelter,"St. John the Divine Anglican Church, 1611 Quadra,Victoria, BC V8W 2L5",https://solidvictoria.org,Provides year-round overnight emergency shelter for 30 adults of all genders.,"Provided by SOLID Outreach Society2 other services offered by this agencyProvides year-round overnight emergency shelter for 30 adults of all genders.Provides year-round overnight emergency shelter for 30 adults of all genders. Serves meals and snacks. Wraparound service includes peer support, system navigation assistance, and referrals to community resources. Not wheelchair accessible, nor able to accept pets. Hours are 9 pm to 8 am daily; gates open at 8 pm.",778-751-8296,N/A,jamessarasin9972@gmail.com,/result/st-john-the-divine-shelter-88285170
St Peter's Winter Shelter,"301 Machleary Street, Nanaimo, BC V9R 2G8",https://www.nflabc.org/the-st-peters-winter-shelter,Temporary low-barrier emergency shelter offering 25 beds for adults.,Provided by Nanaimo Family Life Association8 other services offered by this agencyTemporary low-barrier emergency shelter offering 25 beds for adults.Temporary low-barrier emergency shelter offering 25 beds for adults. Hours are 8 pm to 7:30 am daily. Operates from November 1 until March 31. Guests are asked to enter through the back laneway. Evening meals and breakfasts served. Does not accept pets. Wheelchair accessible. Offered in partnership with Connective Support Society - Nanaimo. Funded by BC Housing.,778-269-3212,N/A,wintershelter@nflabc.org,/result/st-peters-winter-shelter-59770152
Stepping Stones Emergency Shelter,"816 Vernon Street, Nelson, BC V1L 4G4",https://nelsoncares.ca/portfolio-items/stepping-stones/?portfolioCats=9,24-hour emergency shelter offers 17 beds in five bunk-style bedrooms for adults of any gender.,"Provided by Nelson CARES Society14 other services offered by this agency24-hour emergency shelter offers 17 beds in five bunk-style bedrooms for adults of any gender.24-hour emergency shelter offers 17 beds in five bunk-style bedrooms for adults of any gender. Offers three daily meals, showers, and information and referral regarding other community services. Staff are on site 24 hours a day, seven days a week. Low-barrier shelter, drug and alcohol free; maximum stay 30 days. Serves the Kootenay region. Partially wheelchair accessible. Funded in part by BC Housing.",250-352-9876,N/A,steppingstones@nelsoncares.ca,/result/stepping-stones-emergency-shelter-9510164
Stevenson House,"32 Elliot Street, New Westminster, BC V3L 2K1",https://salvation-army-stevenson-house.business.site,Year-round shelter provides up to 14 emergency shelter beds in dorm rooms for men 19 years and over.,"Provided by The Salvation Army - BC Division221 other services offered by this agencyYear-round shelter provides up to 14 emergency shelter beds in dorm rooms for men 19 years and over.Year-round shelter provides up to 14 emergency shelter beds in dorm rooms for men 19 years and over. Not a drop-in shelter, as registration and intake is required; for bed availability and intake, call after 4 pm Monday to Friday. Provides three daily meals, case management services, and outreach to accompany and help clients connect to services. Clients can register to stay for up to 30 nights. 11 pm curfew is enforced. Shelter residents can access their bed for bed rest with approval by management. Alcohol- and drug-free premise. Accepts referral from self or other. Lockers are provided for storage of personal effects. Shelter is not wheelchair accessible, and cannot accommodate pets.",604-526-4783,N/A,sh-shelter@outlook.com,/result/stevenson-house-9506461
Stuart Lake Shelter and Support Society,"New Caledonia Motel, 167 Douglas Avenue,Fort St James, BC V0J 1P0",https://www.slsss.org,Provides seasonal low-barrier overnight emergency shelter on mats for 10 adults in five rooms.,Provides seasonal low-barrier overnight emergency shelter on mats for 10 adults in five rooms.Provides seasonal low-barrier overnight emergency shelter on mats for 10 adults in five rooms. Also offers an additional emergency space in the office. Serves daily meals. Personal belongings including substance use supplies must be stored in the office overnight. Pets cannot be accommodated. Not wheelchair accessible. Works in partnership with health care and RCMP services to assist people to shelter. Intake is first-come first-served from 7:30 pm to 9 pm. Checkout is between 8 am and 8:30 am. Nonprofit society.,778-978-7630,N/A,info@slsss.org,/agency-details/stuart-lake-shelter-and-support-society-88342481
Stuart Wood School Shelter,"245 St Paul Street, Kamloops, BC V2C 2J2",https://www.outofthecoldkamloops.com,Provides 25 emergency overnight shelter beds operating seven days a week.,"Provided by Out of the ColdProvides 25 emergency overnight shelter beds operating seven days a week.Provides 25 emergency overnight shelter beds operating seven days a week. Guests at the shelters have access to daily warm meals, hygiene facilities, referral to health programming, and around the clock staff. Not wheelchair accessible. Pets are allowed, and there is some limited storage for carts. Intake is first-come, first-served. Hours are 8 pm to 8 am daily. Offered in partnership with BC Housing.",250-682-4945,N/A,N/A,/result/stuart-wood-school-shelter-75423290
Sumas Shelter,"1821 Sumas Way, Abbotsford, BC V2S 4L5",https://lookoutsociety.ca,Year-round 24-hour shelter for adults of all genders ages 19 and over.,"Provided by Lookout Housing and Health Society69 other services offered by this agencyYear-round 24-hour shelter for adults of all genders ages 19 and over.Year-round 24-hour shelter for adults of all genders ages 19 and over. Provides 59 beds in individual rooms with shared common areas. Intake is by referral only; any community service provider can refer clients. This is not a low barrier shelter. Intakes are completed between 9 am and 5 pm unless pre-approved. Provides meals, snacks, clothing, showers, laundry, case planning, referrals to all community resources, hygiene supplies, and harm reduction supplies. Some units are wheelchair accessible. Can accommodate a limited number of pets. There is storage for bikes (guest needs to have their own bike lock), and space for no more than two large bags per guest; no carts.",604-334-4911,N/A,sumasshelter@lookoutsociety.ca,/result/sumas-shelter-90751857
Surrey Urban Mission Temporary Shelter,"10776 King George Boulevard, Surrey, BC V3T 2X7",https://www.sumsplace.ca/shelters,"A temporary, low-barrier emergency shelter provides 40 beds to self-identified men and women ages 19 and over.","Provided by Surrey Urban Mission Society (SUMS)13 other services offered by this agencyA temporary, low-barrier emergency shelter provides 40 beds to self-identified men and women ages 19 and over.A temporary, low-barrier emergency shelter provides 40 beds to self-identified men and women ages 19 and over. Services include meals, blankets, and home nursing on site on Tuesdays. 24-hour shelter with intake at 10 pm; intake is through Surrey Welcome Hub at 13545 King George Boulevard. Free beds are distributed on a lottery basis at 10 pm every evening. Wheelchair accessible. Pets are accepted if caged. No storage available. The space also is used for 15 Extreme Weather Response (EWR) mats, provided from 11 pm to 7 am, between November 1 and March 31 when weather is extreme.",604-581-5172,604-585-1023,info@sumsplace.ca,/result/surrey-urban-mission-temporary-shelter-38655702
Surrey Welcome Hub (SWH),"13545 King George Boulevard, Surrey, BC V3T 2V1",https://www.sumsplace.ca/shelters,Integrated community drop-in facility and 15-bed permanent shelter.,"Provided by Surrey Urban Mission Society (SUMS)13 other services offered by this agencyIntegrated community drop-in facility and 15-bed permanent shelter.Integrated community drop-in facility and 15-bed permanent shelter. Public washrooms and respite areas available 8 am to 11 pm daily. Shelter is for adults ages 19 and over. Wheelchair accessible, storage available. One pet is allowed in the shelter at a time. Shelter guests have access to meal, showers, harm reduction supplies, and overdose prevention site. Meals are served at 8 am to 9:30 am and 12 noon to 1:30 pm daily also welcome the community. Case work services available 8 am to 4 pm daily. Serves as intake for four shelters (Surrey Welcome Hub, SUMS Place, The Cove, and The Olive Branch). Intakes are at 10 am and 10 pm daily based on availability of beds. If beds are full, a lottery system will be used: guests must be at the hub at the stated times (names accepted for the lottery starting at 9:30 am and 9:30 pm). Names will be drawn as beds become available. This lottery process happens only when the number of guests looking for a bed exceeds the available beds. Transportation then provided to respective shelter. The hub is open from 8 am to 4 pm and from 6 pm to 11 pm daily.",604-585-1023,N/A,info@sumsplace.ca,/result/surrey-welcome-hub-swh-83211866
Temporary Shelter,"Diamond Head Hotel, Mission, BC V2V 6C7",https://missioncommunityservices.com,Low-barrier shelter with 32 individual rooms for adults.,"Provided by Mission Community Services Society (MCSS)35 other services offered by this agencyLow-barrier shelter with 32 individual rooms for adults.Low-barrier shelter with 32 individual rooms for adults. Accepts couples. Offers three meals a day, and laundry. Provides access to harm reduction supplies, and an overdose prevention area onsite. Staff assist with accessing support services, income assistance, treatment, and housing. Accepts pets. Wheelchair accessible. Must fill out an application form available online or through Haven in the Hollow shelter. Staffed 24 hours. Funded by BC Housing.",604-556-6251,N/A,info@missionmcss.com,/result/temporary-shelter-88329640
Temporary Shelter Program - Abbotsford,"2616 Ware Street, Abbotsford, BC V2S 3E5",https://cyruscentre.com/emergency-shelter,Emergency shelter offers 10 beds for young adults ages 19 to 24 of all genders.,"Provided by Cyrus Centre Ministries11 other services offered by this agencyEmergency shelter offers 10 beds for young adults ages 19 to 24 of all genders.Emergency shelter offers 10 beds for young adults ages 19 to 24 of all genders. Access to dinner service is at 6 pm daily, and a breakfast club from 8 am to 9 am Monday to Friday. May access other services such as showers, clothing, snacks, advocacy, and referral to community agencies during the day by appointment. Shelter hours are 8 pm to 8 am daily. Intake is 24 hours a day; accepts referral from self or other.",604-859-5773,N/A,admin@cyruscentre.com,/result/temporary-shelter-program-abbotsford-83208080
Temporary Shelter Program - Chilliwack,"45845 Wellington Avenue, Chilliwack, BC V2P 2E1",https://cyruscentre.com/emergency-shelter,Emergency shelter offers nine beds for young adults ages 19 to 24 of all genders.,"Provided by Cyrus Centre Ministries11 other services offered by this agencyEmergency shelter offers nine beds for young adults ages 19 to 24 of all genders.Emergency shelter offers nine beds for young adults ages 19 to 24 of all genders. Access to dinner service is at 6 pm daily, and a breakfast club from 9 am to 10 am Monday to Friday. May access other services such as showers and laundry facilities, clothing, snacks, advocacy, and referral to community agencies during the day by appointment. Shelter hours are 8 pm to 8 am daily. Intake is 24 hours a day; accepts referral from self or other.",604-795-5773,N/A,admin@cyruscentre.com,/result/temporary-shelter-program-chilliwack-83208412
Temporary Walton Shelter,"261B East Hastings Street, Vancouver, BC V6A 1P2",https://lookoutsociety.ca,"Provides low-barrier, overnight emergency housing on bunk beds and mats for 15 homeless adults of all genders, with separate spaces for men, women, and non-binary/non-gender conforming individuals.","Provided by Lookout Housing and Health Society69 other services offered by this agencyProvides low-barrier, overnight emergency housing on bunk beds and mats for 15 homeless adults of all genders, with separate spaces for men, women, and non-binary/non-gender conforming individuals.Provides low-barrier, overnight emergency housing on bunk beds and mats for 15 homeless adults of all genders, with separate spaces for men, women, and non-binary/non-gender conforming individuals. Services include breakfast at 5 am, snacks and beverages from 3:30 pm to 7 pm, and dinner at 7 pm. Also provides information and referral to community services. Storage space is limited; with no lockers or storage spaces, residents are limited to what can be on or under a bed; bikes and carts may be accommodated depending on availability of space. Pets are allowed; cats must be in a cat carrier, and dogs must be leashed, with their person at all times, and well behaved. Zero tolerance for drugs or alcohol use on the property. People may be admitted when intoxicated, but cannot use on the premises. Line up starts at 4 pm to be on list, and beds are allocated on a first-come, first-served basis at 7 pm. Last intake is by 9 pm, unless an individual on the list doesn't show by 10 pm curfew time. Referral accepted from self or other. Guest hours are 4 pm to 6 am, and shelter office hours are 3 pm to 7 am. No prescribed maximum stay. Shelter has limited wheelchair accessibility due to a front step, but is accessible for anyone that can navigate that front step and function independently. Funded by BC Housing.",604-688-9129 Local 104,N/A,N/A,/result/temporary-walton-shelter-80677621
Temporary Winter Shelter - Hope,"650 Old Hope Princeton Highway, Hope, BC V0X 1L4",https://hopetransition.org/emergency-shelter-program,A 20-bed trailer that acts as a temporary winter shelter open from November to March 31st for adults of any gender age 19 and older; 24-hour intake.,"Provided by Hope and Area Transition Society14 other services offered by this agencyA 20-bed trailer that acts as a temporary winter shelter open from November to March 31st for adults of any gender age 19 and older; 24-hour intake.A 20-bed trailer that acts as a temporary winter shelter open from November to March 31st for adults of any gender age 19 and older; 24-hour intake. Support services include assistance with income application forms, substance use services, access to Integrated Homelessness Action Response Teams (IHART), and referrals to mental health services and health professionals. Also provides homeless outreach services. Office hours are 9 am to 4 pm Monday to Friday. Funded by BC Housing.",604-869-7574,604-869-5111,info@hopetransition.org,/result/temporary-winter-shelter-hope-87322165
The Beacon Shelter,"108 East Hastings Street, Vancouver, BC V6A 1N4",https://www.vancouverharbourlightsa.ca/shelters,"Emergency shelter for 66 men (cisgender and transgender), open 24-hours, year-round.","Provided by The Salvation Army - BC Division221 other services offered by this agencyEmergency shelter for 66 men (cisgender and transgender), open 24-hours, year-round.Emergency shelter for 66 men (cisgender and transgender), open 24-hours, year-round. Intake hours are 8 am to 11 pm; guests are assessed at the door for access to the shelter. No reservations. Registered men must return by 10:30 pm bed check to keep their place. Behaviour-based, low-barrier shelter, with no alcohol or drug use on site. Offers access to housing support, case management, social programs, a computer lab, and healthcare. Lockers provided for storage of limited personal possessions; no storage for bikes or carts. Pets cannot be accommodated. Not wheelchair accessible.",604-646-6846,N/A,beacon@harbourlightbc.com,/result/the-beacon-shelter-9507145
The Cove Transitional Shelter,"10607 King George Boulevard, Surrey, BC V3T 2X6",https://www.sumsplace.com,"Year-round, low-barrier, 24-hour shelter providing 14 beds to self-identified women and 28 beds to self-identified men ages 19 and over.","Provided by Surrey Urban Mission Society (SUMS)13 other services offered by this agencyYear-round, low-barrier, 24-hour shelter providing 14 beds to self-identified women and 28 beds to self-identified men ages 19 and over.Year-round, low-barrier, 24-hour shelter providing 14 beds to self-identified women and 28 beds to self-identified men ages 19 and over. Bunk beds are separated into two dorms, one for women and one for men. Intake through the Surrey Welcome Hub (13545 King George Boulevard) at 10 am and 10 pm. Provides meals, showers, laundry, limited storage, access to harm reduction support, and access to an overdose prevention site. Pets can be accommodated (some restrictions may apply). Wheelchair accessible.",778-368-2374,604-585-1023,info@sumsplace.ca,/result/the-cove-transitional-shelter-65566238
The Crosswalk Shelter,"108 East Hastings Street, Vancouver, BC V6A 1N4",https://www.vancouverharbourlightsa.ca/shelters,Provides 24-hour emergency accommodation in bunk beds for 36 adult men.,"Provided by The Salvation Army - BC Division221 other services offered by this agencyProvides 24-hour emergency accommodation in bunk beds for 36 adult men.Provides 24-hour emergency accommodation in bunk beds for 36 adult men. Intake is from 8 am to 11:30 pm; guests are assessed at the door for access to the shelter. No reservations. Behaviour-based, low-barrier shelter, with no alcohol or drug use on the premises. Sandwiches and snack provided on intake, and coffee and bagged lunch provided in the morning. Shelter staff offer information and referral, first aid, and support. Pets cannot be accommodated. No storage space for carts or bicycles. Not wheelchair accessible. Curfew is at 10:30 pm.",604-646-6875,N/A,crosswalk@harbourlightbc.com,/result/the-crosswalk-shelter-9491758
The Emergency Youth Shelter,"Downtown Youth Centre, 1633 Richter Street,Kelowna, BC V1Y 9T7",https://www.bgco.ca,"Provides temporary, short-term, overnight, emergency housing to youth of all genders ages 13 to 24 years old.","Provided by Boys and Girls Clubs of the Okanagan (BGC Okanagan) 71 other services offered by this agencyProvides temporary, short-term, overnight, emergency housing to youth of all genders ages 13 to 24 years old.Provides temporary, short-term, overnight, emergency housing to youth of all genders ages 13 to 24 years old. Meets basic needs, and supports youth to access alternate housing resources before accepting guests. Exemption required for youth between 19 and 24 years of age; management approvals are during business hours. Shelter hours are 8 pm to 7 am.",250-868-8541 Local 1,N/A,shelter@bgco.ca,/result/the-emergency-youth-shelter-9505959
The Gathering Place Shelter,"609 Helmcken Street, Vancouver, BC V6B 5R1",https://vancouver.ca/parks-recreation-culture/gathering-place-overnight-shelter.aspx,Low-barrier shelter that provides 34 mats for people of all gender expressions age 18 and over.,"Provided by City of Vancouver42 other services offered by this agencyLow-barrier shelter that provides 34 mats for people of all gender expressions age 18 and over.Low-barrier shelter that provides 34 mats for people of all gender expressions age 18 and over. Sign up starts at 8:30 pm, curfew is at 11 pm; any remaining mats are assigned at that time. Zero tolerance for substance use or violence; accepts intoxicated individuals on condition of good behaviour. A meal ticket is given out daily and available for $2.75 to access a hot meal (lunch or dinner) at The Gathering Place; breakfast and snacks are provided. Access to showers and laundry are available during regular centre hours between 9 am to 5:30 pm daily, and personal care items and clothing are provided. There is a small locker to store personal belongings during the day. No carts. Also offers advocacy support, referrals, and follow-up services. Accepts pets (dogs and cats only). Wheelchair accessible. Funded by BC Housing.",604-257-3846,604-665-2391,N/A,/result/the-gathering-place-shelter-53003549
The Haven Shelter,"108 East Hastings Street, Vancouver, BC V6A 1N4",https://www.vancouverharbourlightsa.ca/shelters,"Emergency shelter for 34 men (cisgender and transgender), open 24 hours, year-round.","Provided by The Salvation Army - BC Division221 other services offered by this agencyEmergency shelter for 34 men (cisgender and transgender), open 24 hours, year-round.Emergency shelter for 34 men (cisgender and transgender), open 24 hours, year-round. Intake hours are 8 am to 11 pm; guests are assessed at the door for access to the shelter. No reservations. Behaviour-based, low-barrier shelter, with no alcohol or drug use on site. Registered guests must return by 10:30 pm to keep their place. Offers access to housing support, case management, social programs, computer lab, and healthcare. Lockers provided for storage of limited personal possessions; no storage for bikes or carts. Pets cannot be accommodated. Wheelchair accessible.",604-646-6806,N/A,haven@harbourlightbc.com,/result/the-haven-shelter-9506688
The Osborn,"27 West Hastings Street, Vancouver, BC V6B 1G4",https://www.phs.ca/locations/the-osborn,"24-hour, low-barrier shelter providing eight secure women-identified sheltering spaces, and 52 co-ed sheltering spaces; couples are welcome.","Provided by PHS Community Services Society31 other services offered by this agency24-hour, low-barrier shelter providing eight secure women-identified sheltering spaces, and 52 co-ed sheltering spaces; couples are welcome.24-hour, low-barrier shelter providing eight secure women-identified sheltering spaces, and 52 co-ed sheltering spaces; couples are welcome. Provides three meals daily as well as case planning that focuses on transitioning guests from being homeless to being housed. Includes a medical clinic space for in-reach programming and on-site support services, links to off-site services, and a safe consumption area. Provides individual lockers for secure storage of personal items, and secure storage for carts and bicycles. Wheelchair accessible. Accepts pets. Intake waitlist is at 12 noon; priority intake is for those in person at 5 pm.",604-681-2806 Local 0,N/A,N/A,/result/the-osborn-73059948
The Sisterhood,"342 Alexander Street, Vancouver, BC V6A 1C3",N/A,A temporary low-barrier shelter with a safe injection onsite that provides up to 21 beds for self-identified women.,"Provided by Atira Women's Resource Society53 other services offered by this agencyA temporary low-barrier shelter with a safe injection onsite that provides up to 21 beds for self-identified women.A temporary low-barrier shelter with a safe injection onsite that provides up to 21 beds for self-identified women. Includes three meals a day and snacks. No cart storage; some storage is available for personal belongings. Free laundry services are available next door. Wheelchair accessible. Pets are accepted, but with restrictions. Open 24 hours a day, seven days a week.",604-681-7916,N/A,thesisterhood@atira.bc.ca,/result/the-sisterhood-65416737
The Yacht Club Winter Shelter,"1140 River Street, Kamloops, BC V2C 1Y7",https://www.theseed.ca,Seasonal 24-hour emergency shelter provides 20 beds for people of any gender experiencing homelessness or housing insecurity ages 18 and over.,Provided by The Mustard Seed11 other services offered by this agencySeasonal 24-hour emergency shelter provides 20 beds for people of any gender experiencing homelessness or housing insecurity ages 18 and over.Seasonal 24-hour emergency shelter provides 20 beds for people of any gender experiencing homelessness or housing insecurity ages 18 and over. Zero tolerance for drugs or alcohol on the property. Storage space is not provided. Pets are not allowed. Intake is from 7 am to 10 pm daily. Operates Oct 15th 2024 to March 31st 2025.,250-319-1409,N/A,infoKamloops@theseed.ca,/result/the-yacht-club-winter-shelter-87136496
Triage Emergency Shelter,"707 Powell Street, Vancouver, BC V6A 1H5",https://www.raincityhousing.org/about/programs,"Provides year-round, low-barrier, 24-hour emergency housing for homeless adults (19 men and nine women) who have mental health and/or substance use issues.","Provided by RainCity Housing and Support Society49 other services offered by this agencyProvides year-round, low-barrier, 24-hour emergency housing for homeless adults (19 men and nine women) who have mental health and/or substance use issues.Provides year-round, low-barrier, 24-hour emergency housing for homeless adults (19 men and nine women) who have mental health and/or substance use issues. Operates from a harm-reduction philosophy. Services include meals, drop-in services, and coordinated assistance in developing long-range treatment and housing plans. Other services include Indigenous cultural programming, peer support, harm reduction education, and referrals to health services, addictions services, and other social supports. Health-related services include 24 hour access to bed rest (must be able to care for self), medication management, home nursing through referral, and home care supports through referral. Accepts pets. Wheelchair accessible. Shelter hours are 24 hours per day. Accepts referrals from self or from a physician, social worker, law enforcement officer, or other community agency. Also provides harm reduction supplies such as safer drug use (cookers, injection supplies, crack pipe mouthpiece and screens), and safer sex supplies (condoms). Needle exchange services include distribution of clean needles, sterile water, and alcohol wipes; disposal of used needles; and health information to encourage safer injection practices. Funded by Vancouver Coastal Health (VCH) and BC Housing.",604-254-3700,N/A,shelter@raincityhousing.org,/result/triage-emergency-shelter-9508012
Tumbler Ridge Safe Home,No  address available,https://www.spcrs.ca/programs/safe-home,"Provides safe, secure, 24-hour shelter to self-identified women, with or without children, who are victims of violence or abuse.","Provided by South Peace Community Resources Society28 other services offered by this agencyProvides safe, secure, 24-hour shelter to self-identified women, with or without children, who are victims of violence or abuse.Provides safe, secure, 24-hour shelter to self-identified women, with or without children, who are victims of violence or abuse. Also offers shelter to women who have no other place to go and need emergency housing. Provides information and support for decision-making, and referral to services in the community. The program offers shelter and food for five to 10 days. If a longer stay is needed, provides transportation to the Mizpah Transition House in Dawson Creek. Not wheelchair accessible. Funded by BC Housing.",250-242-8208,N/A,trsafehome@spcrs.ca,/result/tumbler-ridge-safe-home-40161118
VNFC Shelter,"231 Regina Avenue, Victoria, BC V8Z 1J6",N/A,"Provides year-round, high-barrier, overnight emergency housing on mats, for individuals of all genders ages 19 and up who are experiencing homelessness.","Provided by Victoria Native Friendship Centre19 other services offered by this agencyProvides year-round, high-barrier, overnight emergency housing on mats, for individuals of all genders ages 19 and up who are experiencing homelessness.Provides year-round, high-barrier, overnight emergency housing on mats, for individuals of all genders ages 19 and up who are experiencing homelessness. Couples are accepted. Services include meals, showers, and access to on-site laundry facilities. Other services include resource referrals to housing, income, and basic needs. Storage space is not available; guests must be able to carry their belongings in and out of the shelter. Pets are not allowed. Zero tolerance for drugs or alcohol on the property. People may be admitted when intoxicated; as long as they’re able to walk unassisted and complete intake paperwork. Intake is by phone (no walk-ins) between 2 pm and 7 pm daily; when all beds have been allocated the voicemail will be updated to reflect current space status. Referral accepted from self only. Shelter hours are 8 pm to 7 am. Shelter is not wheelchair accessible. Funded by BC Housing.",250-380-8355,250-886-1360,N/A,/result/vnfc-shelter-58775223
Vancouver Airport Chaplaincy,"C2154-3211 Grant McConachie Way, Richmond, BC V7B 0A4",https://www.yvrchaplaincy.org,"Provides spiritual and emotional support to the travelling public, airline personnel, and airport employees of all faiths.","Provides spiritual and emotional support to the travelling public, airline personnel, and airport employees of all faiths.Provides spiritual and emotional support to the travelling public, airline personnel, and airport employees of all faiths. Offers support for people travelling because of death/illness in the family, hope and direction in crisis situations such as deportation and critical incidents, and helps meet temporary needs of new immigrants and stranded passengers arriving or departing through the airport. The centre includes a meditation-prayer room (open 24 hours a day, seven days a week) and has reading materials. Team of volunteers and chaplains are on duty 9 am to 7 pm daily. Wheelchair accessible.",604-303-3010,778-241-4122,chaplainkirkley@gmail.com,/agency-details/vancouver-airport-chaplaincy-9488150
Vernon Emergency Shelter,"2506 37th Street, Vernon, BC V1T 6G4",https://https://turningpoints.ngo/continuum-of-care/shelter,"Provides year-round, low-barrier, 24-hour emergency housing in dorm rooms for up to 60 homeless adults; accepts all genders and orientations.","Provided by Turning Points Collaborative Society27 other services offered by this agencyProvides year-round, low-barrier, 24-hour emergency housing in dorm rooms for up to 60 homeless adults; accepts all genders and orientations.Provides year-round, low-barrier, 24-hour emergency housing in dorm rooms for up to 60 homeless adults; accepts all genders and orientations. Services include meals, showers, laundry facilities, personal hygiene products, first aid, and access to local calling. Other services include life skills training, employment programs, counselling, harm reduction supplies, 12-step groups, case planning, and referrals to community resources. A personal locker and a storage locker for a bicycle are available. Pets are permitted; staff to be notified on entry and pet agreement signed. Harm-reduction focus; accepts inebriated individuals on condition of respectful behaviour. Violence will not be tolerated. Referral accepted from self or other. Registration is in-person and on a first-come, first served basis at 9 am, 11 am, 1 pm, 3 pm, and 6 pm, depending on bed availability. Shelter is wheelchair accessible. Funded by BC Housing.",250-241-2217,N/A,naomi.poitras@turningpoints.ngo,/result/vernon-emergency-shelter-71558458
Vernon Youth Safehouse,"206-2905 28th Avenue, Vernon,Vernon, BC V1T 8L1",https://www.vernonfirstnationsfriendshipcentre.com/youth/vernon-youth-safe-house,"Provides safe shelter for up to five youth ages 13 to 18 who are homeless, at risk of homelessness, or living in an unsafe environment; serves Indigenous and non-Indigenous youth.","Provided by North Okanagan Friendship Centre Society16 other services offered by this agencyProvides safe shelter for up to five youth ages 13 to 18 who are homeless, at risk of homelessness, or living in an unsafe environment; serves Indigenous and non-Indigenous youth.Provides safe shelter for up to five youth ages 13 to 18 who are homeless, at risk of homelessness, or living in an unsafe environment; serves Indigenous and non-Indigenous youth. Services include meals, advocacy, life skills training, and collaboration with other service providers in the community that the youth are connected to. Wheelchair accessible. Referral accepted from self or other, however referrals are usually through Ministry of Children and Family Development (MCFD). Shelter is staffed 24 hours; no set intake hours. Maximum stay is usually 14 days, but flexible if no other transitional housing is available.",250-260-7077,250-542-1247,safehouse@nofcs.ca,/result/vernon-youth-safehouse-9506034
Vi Fineday Family Shelter Society,No  address available,N/A,"Provides 24-hour emergency accommodation for families, single parents (male or female) with their dependent children, and couples (of any gender) without children; 18 beds available in dorm-style bedrooms.","Provides 24-hour emergency accommodation for families, single parents (male or female) with their dependent children, and couples (of any gender) without children; 18 beds available in dorm-style bedrooms.Provides 24-hour emergency accommodation for families, single parents (male or female) with their dependent children, and couples (of any gender) without children; 18 beds available in dorm-style bedrooms. Provides three meals and two snacks daily. Small lockers and bus tickets may be available, although there is no room for carts. A case manager helps clients with resources to find housing and employment; clients have access to internet, phones, and a fax. Health-related services include 24-hour access to bed rest (doctor's note required to approve bed rest for more than one day), medication storage, and home nursing through referral. Zero tolerance for alcohol and drug use; must be clean two weeks prior to admission. Cannot accommodate pets. Accepts referrals from other agencies and self-referrals. Not wheelchair accessible. Funded by BC Housing. Nonprofit society.",604-736-2423,N/A,vfineday@telus.net,/agency-details/vi-fineday-family-shelter-society-9487935
WISH Shelter,"340 Alexander Street, Vancouver, BC V6A 1C3",https://www.wish-vancouver.net,"Provides year-round, 24-hour emergency housing for current and former sex workers who are women, transgender, or non-binary individuals.","Provided by WISH Drop-in Centre Society2 other services offered by this agencyProvides year-round, 24-hour emergency housing for current and former sex workers who are women, transgender, or non-binary individuals.Provides year-round, 24-hour emergency housing for current and former sex workers who are women, transgender, or non-binary individuals. Accommodation is in shared rooms; 23 bed capacity. Services include meals, shower and laundry facilities, personal hygiene products, and clothing. Other services include advocacy and referrals. Health-related services include 24-access to bed rest. Storage locker space for belongings is available; maximum two medium bags or one large bag per person. Pets are not allowed. Residents may be admitted when intoxicated, but cannot use on the premises; harm reduction supplies are available. Beds are allocated on a first-come, first-served basis; call ahead for availability. Referral accepted from self or other. No prescribed maximum stay. Shelter is wheelchair accessible. Funded by BC Housing. Administrative hours are 9 am to 5 pm Monday to Friday.",604-558-4031,N/A,shelter@wishdropincentre.org,/result/wish-shelter-70364322
Warming and Respite Space,"398 Powell Street, Vancouver, BC V6A 1G4",https://www.dewc.ca/shelterservices,"Provides a safe, warm place where 10 self-identified women living outside can eat and rest year round.","Provided by Downtown Eastside Women's Centre (DEWC)6 other services offered by this agencyProvides a safe, warm place where 10 self-identified women living outside can eat and rest year round.Provides a safe, warm place where 10 self-identified women living outside can eat and rest year round. Pets are allowed. Wheelchair accessible. Storage space for carts is not available. Hours are 2:30 pm to 9 am seven days a week.",604-423-4216,N/A,natasha.warren@dewc.ca,/result/warming-and-respite-space-78778195
